Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Design,17/11/2023,28/04/2025,528,55616,65397,1,0.18
Scope,17/04/2024,19/08/2024,124,8003,8003,1,0.00
Design,19/08/2024,28/04/2025,252,26247,26247,1,0.00
Scope,15/05/2020,23/10/2020,161,154300,257840,1,0.67
Design,29/10/2020,07/01/2021,70,771500,490194,0,-0.36
Construction,09/06/2022,14/03/2025,1009,17358751,15965674,0,-0.08
Design,08/07/2023,26/12/2023,171,42000,65482,1,0.56
Scope,23/10/2018,01/10/2019,343,279097,290817,1,0.04
Design,16/01/2019,29/05/2020,499,1385660,865601,0,-0.38
Scope,17/03/2023,24/03/2023,7,5645,3209,0,-0.43
Design,24/03/2023,05/08/2023,134,25403,12834,0,-0.49
Construction,11/03/2023,17/04/2025,768,327417,296332,0,-0.09
Scope,17/09/2024,17/09/2024,1,3109,6608,1,1.13
Design,17/09/2024,22/11/2024,66,12434,3373,0,-0.73
Scope,06/12/2024,13/06/2024,176,2800,2457,0,-0.12
Design,13/06/2024,12/11/2024,152,12600,9828,0,-0.22
Design,15/08/2022,12/08/2022,3,36000,53998,1,0.50
Scope,09/09/2020,10/01/2021,123,30137,39350,1,0.31
Design,13/10/2021,07/12/2022,420,145516,230659,1,0.59
Design,01/08/2024,20/08/2024,19,31610,65110,1,1.06
Scope,10/12/2018,26/05/2020,533,49497,88743,1,0.79
Design,26/05/2020,30/12/2020,218,235289,199542,0,-0.15
Design,12/03/2018,04/01/2019,298,36000,58475,1,0.62
Design,26/05/2023,30/08/2023,96,30000,4338,0,-0.86
Design,02/06/2023,26/12/2023,207,643687,317337,0,-0.51
Design,14/11/2023,03/05/2024,171,27000,20878,0,-0.23
Scope,07/01/2024,21/08/2024,227,18000,31731,1,0.76
Design,22/08/2024,14/02/2025,176,84000,155025,1,0.85
Scope,06/10/2024,14/06/2024,114,2800,1083,0,-0.61
Design,14/06/2024,12/11/2024,151,12600,4330,0,-0.66
Scope,21/03/2022,04/12/2022,258,3341,5686,1,0.70
Design,04/12/2022,19/07/2022,138,15033,22743,1,0.51
Scope,01/12/2024,01/10/2025,304,33261,36755,1,0.11
Design,02/04/2025,17/09/2025,168,155216,100319,0,-0.35
Scope,23/03/2023,28/03/2023,5,4130,2545,0,-0.38
Design,28/03/2023,05/05/2023,38,18586,10181,0,-0.45
Scope,19/01/2022,04/06/2023,501,14230,62187,1,3.37
Design,24/04/2023,21/02/2024,303,64035,79936,1,0.25
Design,28/09/2023,22/07/2024,298,33455,53894,1,0.61
Design,07/05/2024,15/04/2025,343,6000,45132,1,6.52
Design,10/01/2021,15/07/2022,551,16475,37108,1,1.25
Construction,17/04/2023,30/05/2025,774,241632,211779,0,-0.12
Scope,03/08/2024,11/01/2024,205,12607,41029,1,2.25
Design,15/11/2024,15/04/2025,151,50429,92648,1,0.84
Scope,17/06/2015,22/06/2016,371,176680,154529,0,-0.13
Design,16/04/2019,30/06/2020,441,883400,674873,0,-0.24
Scope,16/06/2020,22/06/2020,6,3418,6911,1,1.02
Design,22/06/2020,23/12/2020,184,15380,27643,1,0.80
Scope,20/08/2020,18/06/2021,302,198200,241482,1,0.22
Design,30/06/2021,20/12/2021,173,991001,943272,0,-0.05
Scope,21/05/2020,27/10/2020,159,37305,116010,1,2.11
Design,24/11/2020,13/12/2021,384,180483,420185,1,1.33
Scope,27/01/2020,11/09/2021,593,277969,187431,0,-0.33
Design,11/09/2021,05/12/2023,815,1388986,727344,0,-0.48
Scope,05/01/2025,18/09/2025,256,48976,1416,0,-0.97
Scope,28/06/2018,03/02/2021,951,111561,298004,1,1.67
Design,03/02/2021,06/08/2021,184,557801,937772,1,0.68
Scope,03/05/2021,25/01/2022,267,198437,445706,1,1.25
Design,25/01/2022,05/12/2022,314,982629,856692,0,-0.13
Scope,09/11/2020,15/12/2021,401,32665,48677,1,0.49
Design,15/12/2021,30/09/2022,289,159563,222708,1,0.40
Design,15/06/2023,24/01/2024,223,223563,121241,0,-0.46
Design,28/06/2024,23/10/2024,117,90396,130722,1,0.45
Scope,15/10/2018,04/12/2019,415,90044,180920,1,1.01
Design,04/12/2019,30/06/2020,209,437233,352434,0,-0.19
Design,03/11/2020,23/08/2022,658,192948,127213,0,-0.34
Design,26/09/2024,18/03/2025,173,30000,48680,1,0.62
Scope,19/04/2018,25/01/2021,1012,661838,834997,1,0.26
Design,26/01/2021,04/04/2023,798,2647352,1456751,0,-0.45
Scope,18/11/2020,05/07/2021,229,71190,119639,1,0.68
Design,18/05/2021,17/12/2021,213,355950,431280,1,0.21
Scope,03/05/2021,03/05/2021,1,18902,2734,0,-0.86
Design,03/05/2021,23/02/2023,661,85062,10932,0,-0.87
Scope,07/06/2021,25/10/2021,140,151512,92464,0,-0.39
Design,24/11/2021,05/11/2022,346,754168,433484,0,-0.43
Scope,15/08/2019,24/01/2020,162,83930,154326,1,0.84
Scope,18/06/2024,13/12/2024,178,218485,277463,1,0.27
Scope,10/08/2024,13/12/2024,125,13660,16420,1,0.20
Design,24/12/2024,15/04/2025,112,54640,65682,1,0.20
Scope,11/01/2021,31/01/2022,385,216951,328697,1,0.52
Design,02/01/2022,04/05/2023,487,976282,767560,0,-0.21
Construction,18/10/2023,30/06/2025,621,12311996,13602797,1,0.10
Scope,10/04/2022,02/01/2023,267,2396800,1863433,0,-0.22
Design,02/02/2023,05/09/2024,581,10785600,6412152,0,-0.41
Scope,11/10/2021,25/01/2022,106,160567,135182,0,-0.16
Design,02/01/2022,05/12/2022,337,793146,675393,0,-0.15
Scope,20/04/1945,25/04/2016,25938,176283,197110,1,0.12
Design,10/10/2018,05/02/2019,118,865743,507479,0,-0.41
Scope,09/11/2019,18/12/2019,39,8140,11187,1,0.37
Design,01/08/2020,30/06/2020,32,36630,40534,1,0.11
Scope,16/09/2014,27/10/2014,41,716528,908881,1,0.27
Design,28/10/2014,19/04/2019,1634,3224378,4539460,1,0.41
Scope,19/06/2019,30/01/2020,225,266212,302909,1,0.14
Design,02/05/2020,28/10/2021,544,1321071,1192907,0,-0.10
Scope,17/03/2023,21/03/2023,4,4200,3910,0,-0.07
Design,21/03/2023,05/04/2023,15,18900,15640,0,-0.17
Scope,18/05/2021,15/06/2022,393,75078,93689,1,0.25
Design,16/06/2022,05/05/2023,323,375390,381501,1,0.02
Scope,24/02/2021,12/07/2021,138,39450,131649,1,2.34
Design,15/12/2021,05/10/2022,294,184374,160560,0,-0.13
Design,21/05/2024,20/12/2024,213,36001,66958,1,0.86
Scope,20/05/2019,18/07/2019,59,140676,221687,1,0.58
Design,24/07/2019,12/05/2019,73,696032,1403255,1,1.02
Construction,14/06/2023,22/08/2025,800,15025246,13593579,0,-0.10
Scope,08/12/2019,30/03/2020,113,70701,57923,0,-0.18
Design,31/03/2020,19/06/2020,80,344503,223247,0,-0.35
Scope,24/06/2021,19/01/2022,209,34972,61451,1,0.76
Design,20/01/2022,27/10/2022,280,174858,195995,1,0.12
Design,18/11/2024,07/02/2025,81,54000,176175,1,2.26
Scope,24/05/2023,15/06/2023,22,3327,981,0,-0.71
Design,15/06/2023,30/08/2023,76,14970,3923,0,-0.74
Scope,17/07/2019,03/11/2021,840,5770,12414,1,1.15
Scope,25/06/2025,31/07/2025,36,2749,314,0,-0.89
Scope,13/08/2024,28/04/2025,258,8574,24242,1,1.83
Scope,26/06/2019,17/09/2019,83,73499,88623,1,0.21
Design,26/09/2019,02/11/2020,403,354838,383951,1,0.08
Scope,14/06/2021,16/09/2021,94,192000,209404,1,0.09
Design,20/10/2021,25/04/2022,187,960000,498942,0,-0.48
Scope,10/05/2018,12/03/2018,59,100920,99173,0,-0.02
Design,12/12/2018,13/05/2019,152,403680,448818,1,0.11
Scope,06/05/2023,10/12/2023,218,142980,156105,1,0.09
Design,18/10/2023,04/10/2024,352,714900,336059,0,-0.53
Scope,30/10/2019,13/02/2020,106,14136,29425,1,1.08
Design,25/02/2020,04/08/2020,161,63611,125942,1,0.98
Scope,08/03/2023,29/12/2023,296,136647,259063,1,0.90
Design,01/12/2024,14/05/2024,201,672871,652144,0,-0.03
Scope,19/07/2023,26/07/2023,7,4800,2655,0,-0.45
Design,26/07/2023,11/01/2023,196,21600,10624,0,-0.51
Scope,30/09/2022,01/11/2023,397,142110,169064,1,0.19
Design,24/01/2023,05/04/2023,71,710551,488167,0,-0.31
Scope,03/07/2023,03/08/2023,31,4980,2420,0,-0.51
Design,03/08/2023,05/03/2023,151,22410,9680,0,-0.57
Scope,15/09/2025,25/09/2025,10,5812,142,0,-0.98
Design,29/10/2018,20/05/2019,203,51733,66374,1,0.28
Scope,17/09/2025,25/09/2025,8,5029,142,0,-0.97
Scope,19/06/2018,30/11/2018,164,387378,244718,0,-0.37
Design,12/05/2018,18/04/2019,341,1528452,1011563,0,-0.34
Scope,08/04/2021,12/08/2021,126,157660,187349,1,0.19
Design,12/08/2021,05/08/2023,723,788300,738180,0,-0.06
Scope,20/01/2023,08/10/2023,261,29051,63186,1,1.18
Design,25/08/2023,02/05/2024,251,145255,112493,0,-0.23
Scope,21/06/2023,11/01/2023,161,70724,90424,1,0.28
Design,11/08/2023,22/04/2024,255,353618,236976,0,-0.33
Scope,06/02/2021,11/09/2021,217,68681,65928,0,-0.04
Design,19/11/2021,05/05/2022,167,335836,313568,0,-0.07
Construction,06/12/2023,14/07/2025,586,6901376,7813214,1,0.13
Scope,13/09/2019,10/11/2019,58,13310,14523,1,0.09
Design,21/11/2019,24/02/2020,95,66550,66591,1,0.00
Scope,08/02/2023,16/11/2023,281,10874,16090,1,0.48
Design,12/04/2023,05/03/2024,328,48933,53273,1,0.09
Scope,27/08/2025,,45896,164,164,1,0.00
Scope,15/11/2018,03/06/2019,200,49435,50347,1,0.02
Design,03/06/2019,18/11/2021,899,197741,118018,0,-0.40
Scope,15/06/2023,20/11/2023,158,111046,121472,1,0.09
Design,28/02/2024,05/03/2024,6,555232,381748,0,-0.31
Scope,06/09/2023,22/09/2023,16,104451,146019,1,0.40
Design,25/10/2023,04/03/2024,131,522249,378408,0,-0.28
Scope,21/06/2021,14/10/2021,115,203462,188666,0,-0.07
Design,26/10/2021,22/04/2022,178,1012328,411913,0,-0.59
Construction,18/07/2022,24/10/2024,829,22346452,20436470,0,-0.09
Scope,15/05/2020,19/10/2020,157,11777,35605,1,2.02
Design,27/10/2020,28/07/2021,274,52996,142429,1,1.69
Design,17/10/2023,22/04/2024,188,82500,109776,1,0.33
Design,11/07/2023,22/04/2024,286,9483,1171,0,-0.88
Scope,29/09/2017,29/03/2018,181,195014,274904,1,0.41
Design,03/04/2019,13/09/2019,163,973425,718512,0,-0.26
Construction,04/05/2021,21/04/2025,1448,21759878,21536425,0,-0.01
Scope,03/01/2019,13/12/2019,344,13750,70621,1,4.14
Design,15/01/2020,29/06/2020,166,68750,168637,1,1.45
Construction,22/07/2021,05/08/2025,1475,1546875,1488009,0,-0.04
Scope,16/03/2022,04/12/2022,263,5962,3389,0,-0.43
Design,04/12/2022,19/07/2022,138,26831,13554,0,-0.49
Scope,13/08/2021,29/07/2022,350,124270,127603,1,0.03
Design,09/02/2022,05/03/2023,389,621350,390005,0,-0.37
Scope,17/05/2023,23/08/2023,98,10806,12932,1,0.20
Design,30/08/2023,12/12/2023,104,48627,41489,0,-0.15
Scope,05/05/2025,13/05/2025,8,4226,1235,0,-0.71
Scope,18/07/2023,26/07/2023,8,4400,2480,0,-0.44
Design,26/07/2023,11/01/2023,196,19800,9922,0,-0.50
Scope,20/05/2013,13/04/1975,13917,49058,58427,1,0.19
Design,13/11/2013,27/10/2014,348,189433,211766,1,0.12
Scope,14/02/2020,23/09/2021,587,112212,104520,0,-0.07
Design,13/10/2021,07/11/2022,390,561061,599437,1,0.07
Design,31/01/2018,21/05/2018,110,41220,49682,1,0.21
Scope,25/05/2023,21/09/2023,119,37514,37053,0,-0.01
Design,10/02/2023,05/10/2024,603,187568,117586,0,-0.37
Scope,18/05/2020,08/11/2020,174,29299,60453,1,1.06
Design,19/08/2020,28/07/2021,343,137177,246733,1,0.80
Design,28/07/2016,19/09/2018,783,273435,813749,1,1.98
Scope,05/04/2021,16/11/2021,225,89950,72610,0,-0.19
Design,12/01/2021,10/07/2022,544,449750,408576,0,-0.09
Scope,06/08/2022,30/08/2022,24,14950,23981,1,0.60
Design,09/12/2022,21/04/2023,133,74750,121931,1,0.63
Scope,14/06/2023,15/03/2024,275,69571,77511,1,0.11
Design,04/03/2024,13/08/2024,162,324664,322560,0,-0.01
Scope,29/07/2021,16/09/2021,49,331100,221828,0,-0.33
Design,17/09/2021,05/04/2022,200,1489950,732615,0,-0.51
Design,02/06/2023,05/03/2023,89,20584,11384,0,-0.45
Scope,27/04/2021,09/08/2021,104,56358,68816,1,0.22
Design,09/09/2021,05/06/2022,269,281792,251114,0,-0.11
Scope,03/09/2023,21/03/2023,166,4500,2314,0,-0.49
Design,21/03/2023,05/03/2023,16,20250,9256,0,-0.54
Scope,29/04/2025,13/05/2025,14,4122,1129,0,-0.73
Scope,14/12/2023,05/10/2024,296,80561,91565,1,0.14
Design,28/05/2024,18/03/2025,294,375952,196987,0,-0.48
Scope,21/01/2022,21/12/2022,334,177527,293625,1,0.65
Scope,25/01/2023,27/03/2023,61,9146,12912,1,0.41
Scope,17/01/2023,12/05/2023,115,173001,266526,1,0.54
Design,21/12/2023,26/04/2024,127,865002,522533,0,-0.40
Scope,27/07/2018,21/03/2019,237,124610,159240,1,0.28
Design,11/06/2019,14/05/2021,703,623050,591674,0,-0.05
Scope,06/09/2022,10/10/2023,399,110913,137468,1,0.24
Scope,06/02/2022,06/09/2022,212,3426,2739,0,-0.20
Design,06/09/2022,25/10/2022,49,15415,10955,0,-0.29
Scope,13/07/2023,11/07/2023,2,34411,56213,1,0.63
Design,17/11/2023,24/04/2024,159,172055,129205,0,-0.25
Scope,14/06/2022,28/06/2022,14,4689,4028,0,-0.14
Design,28/06/2022,25/10/2022,119,21099,16109,0,-0.24
Scope,02/04/2020,04/02/2020,58,59840,103783,1,0.73
Design,04/03/2020,16/07/2020,134,299201,513164,1,0.72
