Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Scope,03/07/2023,26/06/2023,7,19580,15082,0,-0.23
Design,17/07/2023,15/12/2023,151,88110,98336,1,0.12
Scope,25/04/1960,27/10/2017,21004,18951,131400,1,5.93
Design,29/04/2027,22/05/2018,3264,75804,107291,1,0.42
Scope,17/01/2023,26/09/2023,252,457850,305475,0,-0.33
Design,10/04/2023,05/08/2024,483,2289250,1738616,0,-0.24
Scope,17/04/2024,30/04/2024,13,3480,4029,1,0.16
Design,30/04/2024,24/10/2024,177,15660,16116,1,0.03
Scope,20/01/2023,11/01/2023,9,191854,239946,1,0.25
Design,20/11/2023,15/11/2024,361,954338,801327,0,-0.16
Scope,16/02/2023,25/04/2023,68,14940,19332,1,0.29
Design,25/04/2023,25/08/2023,122,67230,67333,1,0.00
Scope,20/08/2020,09/09/2022,750,338022,457355,1,0.35
Design,27/09/2022,05/05/2023,220,1684198,1149640,0,-0.32
Scope,03/10/2021,11/01/2021,265,22378,55239,1,1.47
Design,11/01/2021,29/03/2022,442,111889,104488,0,-0.07
Scope,28/06/2024,07/09/2024,71,4000,228,0,-0.94
Design,07/09/2024,26/12/2024,110,17998,912,0,-0.95
Scope,25/01/2023,13/07/2023,169,27752,102761,1,2.70
Design,17/07/2023,03/05/2025,656,136478,137482,1,0.01
Scope,22/06/2021,01/07/2022,374,96981,167607,1,0.73
Design,01/12/2022,05/11/2022,26,484901,377311,0,-0.22
Scope,18/08/2020,16/12/2021,485,71574,90036,1,0.26
Design,16/12/2021,15/08/2022,242,357872,273056,0,-0.24
Scope,10/05/2023,17/03/2025,677,345944,45411,0,-0.87
Scope,15/12/2020,16/11/2021,336,120420,129719,1,0.08
Design,29/11/2021,30/08/2022,274,595229,462039,0,-0.22
Scope,21/04/1959,18/12/2017,21426,157058,161902,1,0.03
Design,26/01/2018,05/09/2018,222,635343,1602541,1,1.52
Scope,07/03/2024,07/09/2024,184,4000,146,0,-0.96
Design,07/09/2024,26/12/2024,110,17998,583,0,-0.97
Scope,07/08/2021,15/11/2021,100,256450,151291,0,-0.41
Design,12/01/2021,05/11/2022,662,1282250,1048511,0,-0.18
Scope,31/08/2023,26/02/2024,179,748678,288559,0,-0.61
Design,07/02/2024,15/04/2025,433,3493829,1173326,0,-0.66
Scope,10/10/2018,09/06/2019,242,31096,35521,1,0.14
Design,09/11/2019,15/04/2020,158,147389,144189,0,-0.02
Scope,25/06/2018,10/09/2018,77,67246,94412,1,0.40
Design,16/10/2018,29/04/2019,195,269075,385602,1,0.43
Construction,31/07/2019,07/10/2024,1895,5040282,5381027,1,0.07
Scope,31/08/2021,25/03/2022,206,18602,18602,1,0.00
Design,25/03/2022,01/03/2024,707,16212,16212,1,0.00
Scope,30/05/2023,25/09/2023,118,229330,269604,1,0.18
Design,25/10/2023,25/04/2024,183,1131307,495966,0,-0.56
Scope,27/06/2023,10/05/2023,48,10634,18810,1,0.77
Design,17/10/2023,04/10/2024,353,47852,60983,1,0.27
Design,17/11/2023,04/02/2024,79,27000,18298,0,-0.32
Scope,30/07/2025,08/01/2025,203,5887,758,0,-0.87
Scope,20/07/2022,05/04/2023,259,77350,148063,1,0.91
Design,14/06/2023,27/10/2023,135,386750,467009,1,0.21
Scope,10/12/2022,28/09/2023,292,16926,84803,1,4.01
Design,10/11/2023,19/04/2024,161,82502,89473,1,0.08
Scope,18/12/2017,23/03/2018,95,165873,150089,0,-0.10
Design,23/03/2018,18/05/2018,56,652179,636083,0,-0.02
Scope,27/06/2023,13/10/2023,108,10620,14496,1,0.36
Design,16/10/2023,04/10/2024,354,47790,73341,1,0.53
Scope,26/11/2024,26/11/2024,1,66714,1951,0,-0.97
Scope,27/06/2019,23/09/2021,819,49809,96449,1,0.94
Design,01/11/2022,19/07/2022,105,232246,321023,1,0.38
Scope,28/06/2022,07/06/2022,21,3660,5635,1,0.54
Design,07/06/2022,01/04/2023,298,16470,22539,1,0.37
Construction,21/06/2023,17/10/2024,484,212280,189728,0,-0.11
Design,08/09/2023,11/01/2023,240,100805,76784,0,-0.24
Scope,18/12/2017,28/02/2018,72,185319,257385,1,0.39
Design,28/02/2018,17/05/2018,78,735179,1309834,1,0.78
Scope,22/10/2020,02/12/2025,1867,47586,153683,1,2.23
Design,24/02/2025,15/04/2025,50,231227,437340,1,0.89
Design,08/08/2023,01/05/2024,267,14461,54518,1,2.77
Scope,07/08/2022,03/01/2024,514,673976,965278,1,0.43
Design,03/01/2024,15/05/2024,133,3365191,3312752,0,-0.02
Scope,07/11/2024,19/08/2025,285,27518,111912,1,3.07
Scope,15/11/2018,04/04/2019,140,564406,474993,0,-0.16
Design,04/05/2019,16/05/2019,12,2257620,1209144,0,-0.46
Scope,01/03/2020,14/10/2021,592,57240,124855,1,1.18
Design,18/10/2021,26/09/2022,343,286200,481802,1,0.68
Scope,18/09/2013,10/01/2019,1940,216730,204785,0,-0.06
Design,10/01/2019,05/12/2021,1060,1083650,1166995,1,0.08
Scope,20/01/2021,20/01/2021,1,17304,39764,1,1.30
Design,20/01/2021,12/01/2021,8,86520,159061,1,0.84
Scope,07/06/2022,19/07/2022,42,5800,7989,1,0.38
Design,19/07/2022,01/04/2023,256,26100,31957,1,0.22
Construction,21/06/2023,17/10/2024,484,336400,307181,0,-0.09
Design,21/12/2022,07/05/2023,137,83526,71299,0,-0.15
Scope,31/01/2019,09/03/2019,37,6854,6854,1,0.00
Scope,25/06/2018,10/09/2018,77,20269,79017,1,2.90
Design,16/10/2018,29/04/2019,195,81077,218656,1,1.70
Construction,31/07/2019,07/10/2024,1895,1520197,1398265,0,-0.08
Scope,01/11/2021,19/01/2021,286,1584,1037,0,-0.35
Design,20/01/2021,04/12/2021,318,7127,4772,0,-0.33
Scope,28/03/2022,14/04/2022,17,1477,3177,1,1.15
Design,14/04/2022,19/07/2022,96,6646,12705,1,0.91
Scope,04/07/2021,08/06/2021,26,780,46274,1,58.33
Scope,13/08/2024,10/11/2024,89,487419,273858,0,-0.44
Design,23/10/2024,30/04/2025,189,2274621,774672,0,-0.66
Scope,26/03/2025,04/08/2025,131,3154,2438,0,-0.23
Scope,25/09/2018,05/01/2019,102,25281,19354,0,-0.23
Design,05/01/2019,16/05/2019,131,93087,81477,0,-0.12
Construction,22/07/2019,29/08/2025,2230,990715,1677865,1,0.69
Scope,08/08/2023,22/08/2023,14,4690,2246,0,-0.52
Design,22/08/2023,29/11/2023,99,21105,8983,0,-0.57
Scope,11/06/2018,26/02/2019,260,123937,98401,0,-0.21
Design,27/02/2019,17/05/2019,79,493092,555607,1,0.13
Construction,22/07/2019,13/12/2023,1605,8395757,9819965,1,0.17
Scope,22/12/2020,23/11/2021,336,76950,106814,1,0.39
Design,29/11/2021,16/08/2022,260,384750,379460,0,-0.01
Scope,18/08/2020,21/08/2020,3,5200,3775,0,-0.27
Design,21/08/2020,26/05/2021,278,23400,15299,0,-0.35
Scope,06/04/2021,12/07/2021,97,96300,137102,1,0.42
Design,12/08/2021,05/12/2022,480,481500,490124,1,0.02
Scope,25/04/2025,05/08/2025,102,6570,2289,0,-0.65
Scope,14/05/2025,22/05/2025,8,6539,2061,0,-0.68
Scope,27/10/2015,27/02/2017,489,331508,452211,1,0.36
Design,26/04/2017,20/04/2018,359,1318825,1450755,1,0.10
Construction,07/09/2018,29/09/2025,2579,24081321,31149197,1,0.29
Scope,29/05/2019,07/12/2021,923,170880,148901,0,-0.13
Design,20/10/2021,20/03/2023,516,854400,557183,0,-0.35
Scope,23/03/2021,27/01/2022,310,161224,147767,0,-0.08
Design,27/05/2022,05/12/2023,557,801894,890838,1,0.11
Scope,28/05/2025,06/10/2025,131,5742,1340,0,-0.77
Scope,08/05/2020,07/02/2021,275,44200,20065,0,-0.55
Design,07/07/2021,22/12/2021,168,221000,233126,1,0.05
Scope,09/11/2024,18/09/2024,52,4700,2011,0,-0.57
Design,18/09/2024,13/03/2025,176,21150,8045,0,-0.62
Scope,08/12/2020,12/04/2020,240,75640,133184,1,0.76
Design,12/07/2020,17/03/2021,248,378200,536111,1,0.42
Scope,03/12/2021,25/03/2021,253,4700,6857,1,0.46
Design,25/03/2021,25/08/2021,153,21150,27499,1,0.30
Scope,24/09/2024,10/02/2024,227,3400,1760,0,-0.48
Design,10/02/2024,13/03/2025,397,15300,7039,0,-0.54
Design,19/07/2023,22/01/2024,187,56764,110742,1,0.95
Scope,15/06/2023,25/10/2023,132,135892,123486,0,-0.09
Design,11/06/2023,04/04/2024,298,679460,337907,0,-0.50
Scope,05/03/2024,13/05/2024,69,4140,895,0,-0.78
Design,13/05/2024,17/09/2024,127,18630,3581,0,-0.81
Scope,19/04/2024,23/04/2024,4,4820,738,0,-0.85
Design,23/04/2024,17/09/2024,147,21690,2951,0,-0.86
Scope,01/12/2023,24/10/2024,328,372695,273252,0,-0.27
Design,24/10/2024,16/04/2025,174,1746326,1069513,0,-0.39
Scope,07/11/2022,22/11/2023,380,52640,228912,1,3.35
Design,28/11/2023,05/02/2024,69,263200,412632,1,0.57
Scope,07/06/2023,25/10/2023,140,11900,16395,1,0.38
Design,11/01/2023,04/12/2024,693,53550,105727,1,0.97
Scope,03/11/2020,06/04/2020,211,3546,3557,1,0.00
Design,06/04/2020,12/01/2020,85,15956,14226,0,-0.11
Scope,03/05/2024,07/02/2024,86,30617,43676,1,0.43
Design,08/05/2024,15/10/2024,160,140434,110039,0,-0.22
Scope,11/07/2018,15/12/2021,1253,89549,253783,1,1.83
Design,17/12/2021,15/02/2023,425,409361,599836,1,0.47
Construction,20/06/2023,19/05/2025,699,8279391,7947446,0,-0.04
Scope,08/05/2022,14/12/2022,220,15977,12999,0,-0.19
Design,23/12/2022,08/02/2023,47,71898,77124,1,0.07
Scope,03/09/2020,06/04/2020,150,3806,3584,0,-0.06
Design,06/04/2020,12/01/2020,85,17128,14336,0,-0.16
Scope,09/07/2018,26/11/2018,140,43770,26073,0,-0.40
Design,12/05/2018,17/05/2019,370,175080,262645,1,0.50
Scope,02/10/2020,05/03/2021,154,37750,60955,1,0.61
Design,05/10/2021,13/05/2022,220,188750,419702,1,1.22
Scope,10/08/2021,02/03/2022,204,34753,19849,0,-0.43
Design,20/12/2022,15/06/2023,177,167487,103003,0,-0.39
Scope,04/08/2024,10/08/2024,6,19750,81521,1,3.13
Design,10/08/2024,13/08/2025,368,92167,156860,1,0.70
Scope,05/07/2024,10/08/2024,36,9654,27737,1,1.87
Design,10/08/2024,16/04/2025,249,38616,51032,1,0.32
Scope,21/09/2017,19/12/2017,89,23694,29406,1,0.24
Design,08/01/2018,23/04/2019,470,94776,157763,1,0.66
Construction,15/07/2019,10/02/2024,1671,1777049,1899828,1,0.07
Scope,01/05/2021,15/09/2021,137,104779,107560,1,0.03
Design,24/09/2021,03/01/2022,101,523893,221462,0,-0.58
Design,15/09/2016,29/04/1950,24246,38945,300746,1,6.72
Scope,08/07/2024,09/03/2025,244,8032,642,0,-0.92
Scope,08/07/2024,09/03/2025,244,107290,107290,1,0.00
Design,29/11/2022,05/03/2023,96,90954,67322,0,-0.26
Design,02/05/2020,14/05/2020,12,27000,32719,1,0.21
Design,22/03/2023,05/02/2023,45,51763,90900,1,0.76
Scope,01/09/2024,13/08/2024,19,42193,147185,1,2.49
Design,09/06/2024,07/10/2025,485,187111,155872,0,-0.17
Scope,30/04/2025,31/07/2025,92,23046,22545,0,-0.02
Scope,20/06/2024,07/01/2024,165,4790,3327,0,-0.31
Design,07/01/2024,26/12/2024,354,21555,13307,0,-0.38
Scope,04/01/2021,11/03/2021,66,185950,205827,1,0.11
Design,11/10/2021,08/09/2022,332,929750,817770,0,-0.12
Scope,18/07/2024,23/07/2024,5,3430,2853,0,-0.17
Design,23/07/2024,26/12/2024,156,15435,11410,0,-0.26
Scope,12/06/2024,17/06/2025,370,79884,167460,1,1.10
Scope,29/07/2019,24/11/2021,849,409144,516881,1,0.26
Design,12/07/2021,10/11/2022,486,2032006,1883446,0,-0.07
Scope,17/03/2022,02/07/2023,472,92868,182241,1,0.96
Design,17/05/2023,13/05/2024,362,460223,767845,1,0.67
Scope,19/10/2018,10/03/2019,142,89717,163758,1,0.83
Design,12/04/2019,13/04/2021,732,433912,928805,1,1.14
Scope,16/10/2020,02/12/2021,412,3944,3980,1,0.01
Design,02/12/2021,14/07/2021,141,17748,15920,0,-0.10
Design,22/03/2022,05/10/2024,928,99460,134326,1,0.35
Scope,24/10/2018,04/08/2019,284,358164,319216,0,-0.11
Design,08/07/2019,30/06/2020,358,1790823,1171237,0,-0.35
Scope,08/03/2020,30/06/2021,479,34550,23504,0,-0.32
Design,07/07/2021,22/11/2021,138,172750,120855,0,-0.30
Scope,07/12/2021,12/01/2021,329,10600,47944,1,3.52
Scope,15/12/2021,03/11/2022,323,2065,525,0,-0.75
Scope,16/11/2022,13/12/2022,27,4672,6023,1,0.29
Design,13/12/2022,02/08/2023,232,21026,24092,1,0.15
Scope,11/04/2024,11/08/2024,122,3118,4319,1,0.39
Design,11/08/2024,16/04/2025,248,14031,17275,1,0.23
Scope,26/02/2025,14/05/2025,77,4591,2873,0,-0.37
Scope,15/05/2017,29/04/2023,2175,99450,123374,1,0.24
Design,14/07/2017,01/12/2018,505,397800,429418,1,0.08
Scope,28/11/2022,13/12/2022,15,5300,6799,1,0.28
Design,13/12/2022,02/08/2023,232,23850,27199,1,0.14
Scope,28/06/2022,26/10/2022,120,71874,82088,1,0.14
Design,30/11/2022,15/11/2023,350,347396,318878,0,-0.08
Scope,01/03/2025,14/01/2025,46,3042,3015,0,-0.01
Design,14/01/2025,16/04/2025,92,13689,12060,0,-0.12
Scope,15/09/2017,02/02/2018,140,16049,17430,1,0.09
Design,16/03/2018,17/10/2018,215,58847,116393,1,0.98
Scope,06/05/2023,30/10/2023,177,124676,180825,1,0.45
Design,14/11/2023,16/04/2024,154,623380,548862,0,-0.12
Scope,26/03/2025,14/05/2025,49,3898,2640,0,-0.32
Scope,07/09/2020,15/09/2020,8,88770,82761,0,-0.07
Design,18/09/2020,01/08/2021,317,443850,346146,0,-0.22
Scope,17/01/2023,02/02/2023,16,2960,3070,1,0.04
Design,02/02/2023,04/12/2023,305,13320,12280,0,-0.08
Scope,27/04/1944,30/01/2018,26941,68640,125105,1,0.82
Design,01/08/2020,05/07/2020,27,343200,547074,1,0.59
Scope,12/11/2023,31/07/2024,262,213857,258867,1,0.21
Scope,10/04/2023,01/05/2024,387,8496,26919,1,2.17
Design,22/01/2024,25/04/2024,94,38231,80158,1,1.10
Design,18/05/2023,18/12/2023,214,45000,83722,1,0.86
Scope,21/06/2019,25/09/2019,96,60358,64431,1,0.07
Design,10/04/2019,02/11/2020,572,294168,291206,0,-0.01
Scope,19/03/2025,20/05/2025,62,4154,3200,0,-0.23
Design,20/05/2025,16/09/2025,119,165000,96176,0,-0.42
Design,23/07/2025,16/09/2025,55,26041,3217,0,-0.88
Scope,15/01/2020,15/11/2022,1035,11900,31873,1,1.68
Design,25/11/2022,17/04/2023,143,53550,118629,1,1.22
Design,11/06/2024,04/11/2025,511,133573,166969,1,0.25
Scope,02/07/2023,14/12/2023,165,21792,43767,1,1.01
Design,19/12/2023,30/10/2024,316,108959,174088,1,0.60
Scope,05/12/2022,31/08/2022,96,46285,42360,0,-0.08
Design,09/02/2022,02/08/2023,539,224497,186291,0,-0.17
Construction,16/06/2023,30/05/2025,714,4451993,4174894,0,-0.06
Scope,05/08/2024,17/05/2024,80,4857,2035,0,-0.58
Design,17/05/2024,14/11/2024,181,21857,8139,0,-0.63
Scope,04/05/2023,10/02/2023,83,33151,78030,1,1.35
Design,13/10/2023,30/04/2024,200,161367,234119,1,0.45
Design,06/11/2024,13/08/2024,85,32945,56510,1,0.72
Scope,19/11/2018,03/06/2019,196,179670,211118,1,0.18
Design,17/07/2024,17/04/2025,274,838460,531846,0,-0.37
Scope,08/01/2019,12/03/2019,63,89740,113890,1,0.27
Design,22/01/2020,01/12/2022,1044,448700,633345,1,0.41
Scope,21/12/2022,26/01/2023,36,5000,3982,0,-0.20
Design,26/01/2023,04/12/2023,312,22500,15925,0,-0.29
Scope,06/05/2019,10/10/2019,157,135211,190430,1,0.41
Design,20/11/2019,15/06/2020,208,659311,679625,1,0.03
Scope,15/05/2024,21/05/2024,6,4355,592,0,-0.86
Design,21/05/2024,14/11/2024,177,19596,2368,0,-0.88
Scope,29/05/2024,06/05/2024,23,2778,1966,0,-0.29
Design,06/05/2024,27/11/2024,205,12501,7864,0,-0.37
Scope,20/11/2020,15/12/2021,390,164800,96998,0,-0.41
Design,13/01/2022,28/09/2022,258,824000,772830,0,-0.06
Scope,11/10/2021,01/12/2022,416,10500,19205,1,0.83
Design,31/01/2022,05/10/2022,247,52500,110527,1,1.11
Scope,22/03/2019,24/11/2021,978,264990,384242,1,0.45
Design,29/11/2021,30/09/2022,305,1324948,1647898,1,0.24
Scope,15/09/2021,30/09/2021,15,4600,3095,0,-0.33
Design,30/09/2021,01/11/2022,397,20700,12378,0,-0.40
Scope,14/06/2023,17/10/2023,125,8800,16406,1,0.86
Design,24/10/2023,27/03/2024,155,39600,53048,1,0.34
Scope,13/02/2025,16/05/2025,92,13818,13499,0,-0.02
Scope,25/01/2023,24/02/2023,30,4080,4939,1,0.21
Design,24/02/2023,05/03/2023,9,18360,19756,1,0.08
Scope,22/11/2023,22/07/2024,243,89722,132958,1,0.48
Scope,06/10/2024,17/10/2024,11,366430,381818,1,0.04
Design,11/08/2024,21/03/2025,222,1710004,452418,0,-0.74
Scope,12/11/2024,14/03/2025,122,14348,397,0,-0.97
Scope,26/04/1976,10/05/2021,16450,62480,73108,1,0.17
Design,10/06/2021,05/11/2022,513,312400,425987,1,0.36
Scope,16/06/2023,16/10/2023,122,9700,12472,1,0.29
Design,24/10/2023,04/05/2024,193,43650,94137,1,1.16
Scope,06/05/2023,10/02/2023,85,182777,240156,1,0.31
Design,18/10/2023,19/04/2024,184,910109,499645,0,-0.45
Scope,06/10/2022,31/01/2023,117,72419,72419,1,0.00
Design,02/01/2023,13/10/2023,284,108479,105109,0,-0.03
Scope,19/09/2017,03/04/2022,1657,383131,386316,1,0.01
Design,03/04/2022,16/05/2022,43,1905372,1998206,1,0.05
Scope,13/03/2023,21/03/2023,8,3320,3076,0,-0.07
Design,21/03/2023,05/03/2023,16,14940,12501,0,-0.16
Scope,03/03/2025,25/03/2025,22,4242,3203,0,-0.24
Design,25/03/2025,26/08/2025,154,16969,12812,0,-0.24
Scope,17/02/2025,22/08/2025,186,201191,121679,0,-0.40
Scope,26/02/2025,05/01/2025,52,3208,2984,0,-0.07
Scope,14/03/2022,20/07/2022,128,29950,29110,0,-0.03
Design,08/04/2022,05/11/2023,576,149750,192920,1,0.29
Scope,13/05/2025,06/03/2025,68,5186,518,0,-0.90
Scope,14/05/2025,15/08/2025,93,40016,40016,1,0.00
Scope,12/12/2023,23/09/2025,651,3977,3977,1,0.00
Scope,18/03/2024,18/03/2024,1,17000,359,0,-0.98
Design,18/03/2024,26/06/2024,100,76500,34776,0,-0.55
Scope,28/11/2017,12/12/2018,379,283697,209885,0,-0.26
Design,01/03/2019,17/05/2019,77,1120106,586189,0,-0.48
Construction,03/09/2020,15/04/2025,1685,19683701,19816001,1,0.01
Scope,03/11/2021,23/08/2021,72,208115,236644,1,0.14
Design,29/09/2021,03/02/2022,127,1035400,822209,0,-0.21
Scope,20/10/2020,23/10/2020,3,5772,5570,0,-0.03
Design,23/10/2020,06/09/2021,318,25974,22280,0,-0.14
Design,07/12/2024,11/01/2024,331,49200,58665,1,0.19
Scope,18/05/2020,11/03/2020,68,205690,371878,1,0.81
Design,19/11/2020,07/01/2021,49,1028450,724091,0,-0.30
Scope,24/05/2023,16/11/2023,176,25049,36888,1,0.47
Design,27/11/2023,17/05/2024,172,125245,181802,1,0.45
Scope,15/03/2024,05/08/2024,143,5314,9616,1,0.81
Design,13/05/2024,17/05/2024,4,21254,12764,0,-0.40
Scope,03/07/2022,08/10/2022,97,32500,25290,0,-0.22
Design,08/12/2022,17/03/2023,99,162500,179823,1,0.11
Scope,30/09/2022,30/12/2022,91,36545,140290,1,2.84
Design,09/05/2023,05/07/2024,423,178968,486758,1,1.72
Scope,07/06/2023,25/10/2023,140,9680,16580,1,0.71
Design,11/01/2023,04/09/2024,602,43560,98624,1,1.26
Scope,24/04/2024,06/05/2025,377,482732,110605,0,-0.77
Scope,15/03/2021,24/11/2021,254,157770,183993,1,0.17
Design,12/08/2021,26/08/2022,379,788850,514614,0,-0.35
Scope,14/06/2023,21/11/2023,160,19010,46886,1,1.47
Design,01/10/2024,11/08/2024,51,95049,105973,1,0.11
Scope,16/04/2021,08/05/2021,22,51235,94927,1,0.85
Design,08/09/2021,13/01/2022,127,252730,398917,1,0.58
Construction,07/05/2022,30/05/2025,1119,5388433,5270397,0,-0.02
Scope,11/05/2021,20/09/2023,862,270386,373070,1,0.38
Design,26/09/2023,10/09/2024,350,1300522,1762503,1,0.36
Scope,10/05/2023,13/03/2024,308,622352,382188,0,-0.39
Design,08/12/2024,04/04/2025,117,2904308,976460,0,-0.66
Scope,14/11/2024,22/08/2025,281,57696,29323,0,-0.49
Scope,01/08/2025,13/02/2025,169,2094,12459,1,4.95
Design,14/02/2025,04/08/2025,171,8375,739,0,-0.91
Scope,10/05/2023,13/03/2024,308,5338,5338,1,0.00
Design,08/12/2024,04/04/2025,117,13683,13683,1,0.00
Scope,08/02/2018,12/03/2018,32,15503,149657,1,8.65
Design,05/03/2022,05/10/2023,579,77514,82156,1,0.06
Scope,28/05/2019,02/08/2023,1527,150499,179202,1,0.19
Design,02/09/2023,05/11/2023,64,748896,705231,0,-0.06
Scope,07/06/2023,18/07/2023,41,5400,1147,0,-0.79
Design,18/07/2023,10/11/2023,115,24300,4588,0,-0.81
Scope,28/09/2018,15/11/2018,48,99750,100930,1,0.01
Design,30/11/2018,04/12/2019,369,399000,441218,1,0.11
Scope,07/06/2023,18/07/2023,41,4136,1109,0,-0.73
Design,18/07/2023,10/11/2023,115,18612,4434,0,-0.76
Scope,17/08/2020,01/04/2021,227,74140,116893,1,0.58
Design,01/05/2021,28/07/2021,88,370700,406467,1,0.10
Scope,11/10/2021,19/01/2023,465,111397,203307,1,0.83
Design,20/01/2023,09/12/2024,689,556983,403454,0,-0.28
Scope,12/12/2023,25/09/2024,288,220891,212580,0,-0.04
Design,11/06/2024,16/04/2025,309,1030818,204423,0,-0.80
Scope,03/05/2025,24/06/2025,52,44700,44700,1,0.00
Scope,15/06/2023,22/09/2023,99,9899,16018,1,0.62
Design,10/04/2023,04/04/2024,360,44546,61332,1,0.38
Scope,21/11/2018,02/11/2020,712,15826,63341,1,3.00
Design,02/11/2020,14/05/2021,193,71215,167001,1,1.35
Scope,22/03/2023,10/04/2024,385,137509,210458,1,0.53
Design,11/08/2024,17/03/2025,218,638587,663945,1,0.04
Scope,25/05/2023,11/09/2023,109,2283,2283,1,0.00
Design,22/11/2024,06/11/2025,349,9296,9296,1,0.00
Scope,30/05/2024,04/10/2025,492,194994,152835,0,-0.22
Scope,27/03/2025,13/05/2025,47,2387,4145,1,0.74
Scope,12/07/2023,11/06/2024,335,35829,55024,1,0.54
Scope,03/05/2025,05/01/2025,118,2525,2961,1,0.17
Scope,30/05/2024,18/09/2025,476,11890,67824,1,4.70
Scope,02/09/2023,15/03/2023,171,4440,5215,1,0.17
Design,15/03/2023,05/03/2023,10,19980,20859,1,0.04
Scope,07/08/2022,25/07/2023,352,32629,61878,1,0.90
Design,09/07/2023,04/10/2024,453,146829,90869,0,-0.38
Scope,18/09/2014,21/04/1957,20969,586154,423757,0,-0.28
Design,29/07/2016,15/05/2017,290,2327215,2096299,0,-0.10
Construction,24/07/2017,04/11/2025,3025,42073721,43025988,1,0.02
Scope,24/11/2021,09/08/2023,623,18702,42092,1,1.25
Design,09/11/2023,15/12/2023,36,92656,145359,1,0.57
Scope,29/10/2021,10/11/2022,377,35710,199522,1,4.59
Design,10/12/2022,22/12/2023,377,177477,543794,1,2.06
Scope,23/01/2023,28/03/2023,64,11680,16689,1,0.43
Design,31/03/2023,08/02/2023,51,52560,51578,0,-0.02
Construction,29/03/2024,20/06/2025,448,677440,597449,0,-0.12
Scope,30/06/2022,04/03/2024,613,97070,326598,1,2.36
Design,08/02/2024,15/04/2025,432,444541,537050,1,0.21
Design,07/05/2023,21/11/2023,198,29336,46599,1,0.59
Design,25/11/2024,14/04/2025,140,30000,15000,0,-0.50
Scope,24/07/2024,10/08/2024,17,52694,201932,1,2.83
Scope,24/02/2020,29/11/2021,644,90790,81337,0,-0.10
Design,12/08/2021,05/10/2022,419,453950,403525,0,-0.11
Construction,09/01/2022,15/08/2025,1314,10213875,9580546,0,-0.06
Scope,22/03/2022,04/12/2022,257,3732,3456,0,-0.07
Design,04/12/2022,27/07/2022,130,16793,13824,0,-0.18
Scope,03/10/2021,04/11/2022,397,23164,88332,1,2.81
Design,04/11/2022,05/11/2022,1,114030,116106,1,0.02
Scope,09/12/2024,19/03/2025,100,15859,32670,1,1.06
Design,19/03/2025,19/09/2025,184,63434,130675,1,1.06
Scope,10/06/2022,18/10/2022,130,4464,9180,1,1.06
Design,18/10/2022,15/02/2023,120,20088,36722,1,0.83
Scope,18/07/2024,21/10/2024,95,17432,19691,1,0.13
Design,21/10/2024,24/02/2025,126,81351,80464,0,-0.01
Scope,08/07/2024,15/08/2024,38,4055,4767,1,0.18
Design,15/08/2024,02/06/2025,291,18245,19066,1,0.04
Design,03/04/2024,16/07/2024,104,33000,48945,1,0.48
Scope,04/12/2022,09/12/2022,5,62504,61621,0,-0.01
Design,26/09/2022,31/03/2023,186,308752,602232,1,0.95
Scope,31/05/2024,01/02/2025,246,62244,86488,1,0.39
Scope,11/04/2024,11/08/2024,122,6268,3248,0,-0.48
Design,11/08/2024,04/09/2025,389,28204,12991,0,-0.54
Design,25/03/2024,19/08/2024,147,60000,67690,1,0.13
Scope,10/06/2022,18/10/2022,130,5456,9411,1,0.72
Design,18/10/2022,15/02/2023,120,24552,37645,1,0.53
Design,20/11/2023,18/03/2024,119,58500,49854,0,-0.15
Scope,26/05/2022,01/03/2023,279,310975,156440,0,-0.50
Design,13/01/2023,05/12/2023,326,1554876,922774,0,-0.41
Scope,16/05/2025,26/09/2025,133,88431,45928,0,-0.48
Design,30/11/2021,05/12/2022,370,90000,87772,0,-0.02
Design,12/06/2021,23/02/2022,256,37500,23674,0,-0.37
Scope,25/05/2023,06/06/2023,12,3690,2125,0,-0.42
Design,06/06/2023,10/03/2023,88,16605,8500,0,-0.49
Scope,19/04/2021,24/11/2021,219,43398,31482,0,-0.27
Design,29/11/2021,27/12/2022,393,216989,335601,1,0.55
Scope,03/05/2025,09/10/2025,159,16986,16986,1,0.00
Scope,03/07/2023,08/09/2023,67,35198,47722,1,0.36
Design,09/08/2023,26/11/2024,475,164259,162392,0,-0.01
Design,03/07/2024,26/11/2024,146,119124,221026,1,0.86
Scope,09/06/2023,27/11/2023,171,39758,86718,1,1.18
Scope,20/12/2023,12/11/2024,328,2195,6379,1,1.91
Scope,28/09/2022,10/03/2022,202,5181,3544,0,-0.32
Design,10/03/2022,01/11/2023,601,23314,14176,0,-0.39
Scope,08/07/2024,04/03/2025,239,120371,180700,1,0.50
Design,04/05/2022,19/07/2022,76,24000,17454,0,-0.27
Design,17/05/2022,27/01/2023,255,363000,394905,1,0.09
Scope,14/07/2022,25/07/2023,376,37560,53758,1,0.43
Design,23/08/2023,21/03/2024,211,187049,217265,1,0.16
Design,08/01/2024,23/04/2025,471,138000,71569,0,-0.48
Design,06/06/2023,10/03/2023,88,24000,4294,0,-0.82
Scope,30/06/2025,08/01/2025,173,4001,2081,0,-0.48
